,Name,dual_Esignal,dual_Escatter,dual_Ebeta,dual_psignal,dual_pscatter,dual_pbeta,dual_sigma,dual_M,dual_scale,dual_p,dual_scattersigmamod,octal_Esignal,octal_Escatter,octal_Ebeta,octal_psignal,octal_pscatter,octal_pbeta,octal_sigma,octal_M,octal_scale,octal_p,octal_scattersigmamod
0,Cu20um_defocus-500,7889.612602302504,10441.294258102991,8773.407286383217,0.03149051790257773,7.711041713531763e-05,0.16805050899084567,384.6175486993291,16.26650252195361,20.462936348600657,0.49788407545323077,1.5,7850.445484210707,11540.335868537244,8953.508539945855,0.2478044280468703,0.003031627387803937,0.23157973154041106,756.7576685240251,53.99312412569183,14.022290376502793,0.4736283037268214,0.8
1,Cu5um_focus,7887.056200272726,10440.020916181642,8778.414981274884,0.03642427147574967,8.589613401088769e-05,0.15217971172485972,388.7499193806903,18.22143072495718,20.75110941430193,0.5082918099329894,1.5,7781.463366336971,11247.528725094451,8822.307289998167,0.2700257687746046,0.0037041438507723345,0.28547861382256795,738.2816662120106,19.321865347027448,14.039153845202991,0.4820695361417173,0.8
2,Fe500nm_defocus+400,6287.238609081391,10441.516796875,7045.500000000001,0.00178408014552911,2.717238506422248e-06,0.24435045122748636,361.40436529782863,1.5767562777781035,22.15491791396341,0.44034317719112503,1.5,6298.230328140008,10838.334433546645,7045.500000000001,0.0019124274568207422,0.0003388142135425376,0.1591426837590781,681.189259895988,0.04026303883378327,165.85251626732142,0.4511248084997159,0.8
3,Cu5um_defocus-500,7887.15681409916,10438.705294872025,8776.75275777028,0.0370377958703938,8.633446874029005e-05,0.15086966820920786,388.1725327696465,17.035519699732816,20.83597516166823,0.5100484318502532,1.5,7759.157521759781,11152.884956550215,8785.25167633082,0.27693529711836273,0.004058575995055769,0.29995040434744824,721.3821907804421,18.982967910546442,13.808041325348142,0.4854233444616598,0.8
4,Cu5um_defocus-250,7886.9133313550365,10438.719695164018,8777.42733718513,0.03660967294049988,8.43738975433439e-05,0.1517250222337247,388.88901456708874,17.129876281202222,20.875788271321394,0.5103978789920245,1.5,7751.120487268939,11120.321287095601,8777.745534599484,0.27806954509671944,0.004140989226641079,0.29999077587123785,710.0205230019451,19.907430330983903,13.631200709591258,0.48642410994561547,0.8
5,Fe10um_focus,6303.097187020041,10970.390926973258,7045.500000000001,0.01989481703823537,2.473991720530755e-05,0.13850567896200955,390.1921075330564,22.24503912913764,18.0029813437463,0.4182539228509934,1.5,6183.207528336621,10439.774115401799,7045.500000000001,0.19120224544115327,0.003035048111784233,0.29992554505109453,655.373533319048,148.620582097357,11.776790552071205,0.37843676470536103,0.8
6,Fe500nm_focus,6281.980208632776,10439.503613721306,7045.500000000001,0.0017871120510082328,1.7537017102942087e-06,0.21891243890729387,392.40240611688074,0.9054714216297652,27.766605690765964,0.4208015464258916,1.5,6338.496177705555,10869.996970717422,7045.500000000001,0.0018374567825842902,0.00026812772572015753,0.17294991466942233,694.1900329360108,0.0413835046200608,168.9389200698438,0.43526973055239515,0.8
7,Fe500nm_defocus-200,6282.847876671815,10440.639205355368,7045.500000000001,0.0013259623721812996,1.3252621786641328e-06,0.2213273208028732,400.08048649299946,0.551903617213178,34.82416465495961,0.41909075443009347,1.5,6330.351123584056,10865.3348996884,7045.500000000001,0.0014391508721940394,0.00020938742238874042,0.17338589671907387,688.1938784588847,0.031869680294038014,208.84446648886592,0.43303430308236446,0.8
8,Fe10um_defocus-400,6303.857690070431,10976.51618255991,7045.500000000001,0.01848038146393849,2.1892804827672308e-05,0.13901473634652245,389.1941377387784,19.742547620279115,17.992008756215693,0.41710527458176005,1.5,6173.134841877654,10441.241460911797,7045.500000000001,0.18739206596652047,0.0029482772602140717,0.2999657282863416,645.3555011156885,848.8286516034578,11.677899916383833,0.3813267157841469,0.8
9,Fe500nm_focus_high,6282.578022306987,10438.4654807429,7045.500000000001,0.004152278697140854,6.164708014289033e-06,0.2500244033941739,422.7358024673309,0.6997053201796273,28.229179622270667,0.4175578910308908,1.5,6174.455350538276,10738.770587899118,7045.500000000001,0.07551930899856019,0.011449704557339846,0.26962124593893505,651.925256943165,1.3129853061465475,12.053932980147286,0.4511944683910556,0.8
10,Cu5um_focus_filter,7896.147676946626,10438.46069559841,8976.200859703655,0.010102003166495344,6.647932981884708e-06,0.0028663788837129276,376.940624017805,17.464350336973524,19.98011092211414,0.472744407416138,1.5,7724.160473946339,10938.781360936046,8463.611728122418,0.11265480342498879,0.0004387469212236983,0.20493932467196244,590.4011469883225,5794.599575123121,13.212517404318525,0.50644358762277,0.8
11,Cu20um_focus,7888.355317408998,10439.99253231463,8776.023928416593,0.032969874530434096,7.449233720402404e-05,0.16554273777871656,386.0207205459694,19.56839063899809,20.61828242814085,0.5061364075618064,1.5,7856.694412120348,11538.93614356727,8944.815929696402,0.24397878985066113,0.0030841651287880634,0.23779516597496875,757.8677444884402,45.73868053580594,14.060737618091709,0.4715280636965702,0.8
12,Fe500nm_focus_2,6286.667154233123,10440.230957521997,7045.500000000001,0.001000968280350234,2.044386866018044e-06,0.23160476184027443,377.31977414357834,0.3910276480770961,40.453216835589465,0.422378549277064,1.5,6298.237868253893,10851.367496665827,7045.500000000001,0.00311029682766617,0.000652948403254916,0.15347378059515515,670.6439156393731,0.061414193184740895,100.78597533026696,0.4499254821812586,0.8
